experiment	gene_identifier	log2_fc	n_trt	n_ctl	expression_ctl0	log10_p	log10_p_bh
2	498060_at	0.700996678	3	2	1.662	-1.109296902	-0.083570239
2	315139_at	-0.119601329	3	2	2.617	-0.161625867	-0.020926588
2	65035_at	0.817275748	3	2	3.084	-0.572915668	-0.059314898
2	498678_at	-0.49833887	3	2	1.509	-0.664993166	-0.065116852
2	308556_at	-0.355481728	3	2	2.157	-0.467946821	-0.049522158
2	362711_at	-0.215946844	3	2	2.85	-0.281122973	-0.035061626
2	685756_at	-1.086378738	3	2	1.927	-0.32598503	-0.040981217
2	171566_at	0.049833887	3	2	2.558	-0.060104217	-0.007823181
2	363869_at	0.11627907	3	2	3.628	-0.122524097	-0.016290165
2	500249_at	0.322259136	3	2	2.421	-0.381917882	-0.045037333
2	25722_at	-0.009966777	3	2	0.987	-0.00384508	-0.000688084
2	117582_at	-2.843853821	3	2	0.663	-3.489991112	-0.399779014
2	65170_at	0.126245847	3	2	2.962	-0.171115922	-0.021743344
2	362972_at	0.833887043	3	2	2.43	-1.138220433	-0.083570239
2	289801_at	-2.687707641	3	2	1.156	-0.670180581	-0.065116852
2	315094_at	0.465116279	3	2	2.769	-0.742817781	-0.065116852
2	171140_at	0.019933555	3	2	2.303	-0.021073666	-0.003072861
2	59295_at	-0.405315615	3	2	3.485	-0.76014383	-0.065116852
2	306000_at	0.132890365	3	2	2.53	-0.120127124	-0.015570741
2	293148_at	0.415282392	3	2	2.059	-0.635884993	-0.065116852
2	293528_at	-0.23255814	3	2	2.995	-0.282243444	-0.035061626
2	309673_at	-0.029900332	3	2	2.164	-0.022681318	-0.003205475
2	360642_at	0.485049834	3	2	2.936	-0.418467635	-0.047314506
2	360576_at	0.568106312	3	2	1.281	-0.674412538	-0.065116852
2	29728_at	-1.84717608	3	2	2.178	-1.542412843	-0.106548712
2	360497_at	-0.292358804	3	2	2.576	-0.376054162	-0.0443991
2	58920_at	-0.299003322	3	2	1.698	-0.285116749	-0.035545418
2	300225_at	-0.401993355	3	2	2.241	-0.404468446	-0.046187636
2	83819_at	-1.458471761	3	2	1.037	-0.698353463	-0.065116852
2	309762_at	0.073089701	3	2	1.971	-0.040869602	-0.006309081
2	310250_at	-0.23255814	3	2	2.429	-0.38092532	-0.045037333
2	54193_at	-1.631229236	3	2	1.145	-0.432306463	-0.04772978
2	246255_at	0.003322259	3	2	3.027	-0.003035505	-0.000486426
2	308789_at	0.621262458	3	2	2.549	-0.777201686	-0.065116852
2	499867_at	-1.126245847	3	2	1.383	-0.621969111	-0.064402138
2	309570_at	0.023255814	3	2	2.893	-0.026105634	-0.003570809
